,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
98,MOTRICITY INC,MOTR,Nasdaq National Market,10.0,"6,000,000","$60,000,000",2010-06-18,/market-activity/ipos/overview?dealId=683357-63176,355,"39,741,120",397411200.0,601 108TH AVE NE SUITE 900  BELLEVUE WA 98004,425-957-6200
99,"China Intelligent Lighting & Electronics, Inc.",CIL,American Stock Exchange,3.0,"3,350,000","$10,050,000",2010-06-18,/market-activity/ipos/overview?dealId=767730-63377,654,"13,243,704",39731112.0,"NO. 29& 31, HUANZHEN ROAD SHUIKOU TOWN, HUIZHOU  GUANGDONG,  516500",86-0752-3138511
100,"XpresSpa Group, Inc.",VRNGU,American Stock Exchange,4.6,"2,392,000","$11,003,200",2010-06-22,/market-activity/ipos/overview?dealId=755162-63227,33,"5,092,278",23424478.799999997,254 WEST 31ST STREET 11TH FLOOR  NEW YORK NY 10001,(212) 309-7549
101,"Hudson Pacific Properties, Inc.",HPP,New York Stock Exchange,17.0,"12,800,000","$217,600,000",2010-06-24,/market-activity/ipos/overview?dealId=821535-63372,60,"22,908,037",389436629.0,11601 WILSHIRE BLVD. SUITE 1600  LOS ANGELES CA 90025,(310) 445-5700
102,Fabrinet,FN,New York Stock Exchange,10.0,"8,500,000","$85,000,000",2010-06-25,/market-activity/ipos/overview?dealId=761699-62666,5400,"33,743,709",337437090.0,"5/6 MOO 6,  SOI KHUNPRA, PHAHOLYOTHIN RD KLONGNUENG, KLONGLUANG  PATUMTHANEE  12120",662-524-9600
103,"Tesla, Inc.",TSLA,Nasdaq National Market,17.0,"13,300,000","$226,100,000",2010-06-29,/market-activity/ipos/overview?dealId=665410-63240,646,"93,109,393",1582859681.0,3500 DEER CREEK RD   PALO ALTO CA 94304,650-681-5000
104,Pactera Technology International Ltd.,HSFT,Nasdaq National Market,10.0,"7,400,000","$74,000,000",2010-06-30,/market-activity/ipos/overview?dealId=831059-64496,4097,"528,472,536",5284725360.0,"BUILDING C-4, NO. 66 XIXIAOKOU ROAD   HAIDIAN DISTRICT, BEIJING  100192",86 (10) 8282-5266
105,AutoNavi Holdings Ltd,AMAP,Nasdaq National Market,12.5,"8,625,000","$107,812,500",2010-07-01,/market-activity/ipos/overview?dealId=830150-64418,1708,"182,298,000",2278725000.0,"16F, SECTION A, FOCUS SQUARE NO 6. FUTONG EAST AVENUE, WANGJING  CHAOYANG DISTRICT, BEIJING  100102",(86-10) 8410-7016
106,ENERGY CORP OF AMERICA,ECT,New York Stock Exchange,20.0,"8,802,500","$176,050,000",2010-07-01,/market-activity/ipos/overview?dealId=38999-63760,256,"13,203,750",264075000.0,4643 SOUTH ULSTER STREET SUITE 1100  DENVER CO 80237,3036942667
107,SMART Technologies Inc.,SMT,Nasdaq National Market,17.0,"38,830,000","$660,110,000",2010-07-15,/market-activity/ipos/overview?dealId=831543-64546,1632,"44,308,596",753246132.0,3636 RESEARCH ROAD N.W.   CALGARY  T2L 1Y1,403-407-4212
108,QLIK TECHNOLOGIES INC,QLIK,Nasdaq National Market,10.0,"11,200,000","$112,000,000",2010-07-16,/market-activity/ipos/overview?dealId=651529-63766,617,"74,957,594",749575940.0,150 N. RADNOR CHESTER ROAD SUITE E220  RADNOR PA 19087,888-828-9768
109,RealD Inc.,RLD,New York Stock Exchange,16.0,"12,500,000","$200,000,000",2010-07-16,/market-activity/ipos/overview?dealId=674388-63851,74,"47,638,374",762213984.0,100 NORTH CRESCENT DRIVE SUITE 200  BEVERLY HILLS CA 90210,(310) 385-4000
110,BIQI INTERNATIONAL HOLDINGS CORP,OINK,Nasdaq National Market,6.0,"2,000,000","$12,000,000",2010-07-20,/market-activity/ipos/overview?dealId=824086-63635,230,"10,125,000",60750000.0,"SUITE F, 23RD FLOOR, BUILDING B 228 YANJIANG AVE, JIANGAN DISTRICT  WUHAN CITY, HUBEI PROVINCE  430010",(86) 27 8274 0726
111,Camelot Information Systems Inc.,CIS,New York Stock Exchange,11.0,"13,333,334","$146,666,674",2010-07-21,/market-activity/ipos/overview?dealId=831674-64562,2908,"175,314,008",1928454088.0,BEIJING PUBLISHING HOUSE 6 NORTH THIRD RING ROAD  BEIJING  100120,(86-10)5810-0999
112,GREEN DOT CORP,GDOT,New York Stock Exchange,36.0,"4,558,050","$164,089,800",2010-07-22,/market-activity/ipos/overview?dealId=732491-63434,289,"6,766,602",243597672.0,3465 E. FOOTHILL BLVD   PASADENA CA 91107,6267652000
113,"Ameresco, Inc.",AMRC,New York Stock Exchange,10.0,"8,696,820","$86,968,200",2010-07-22,/market-activity/ipos/overview?dealId=825041-63751,649,"22,403,276",224032760.0,111 SPEEN STREET   FRAMINGHAM MA 01701,508-661-2200
114,"Molycorp, Inc.",MCP,New York Stock Exchange,14.0,"28,125,000","$393,750,000",2010-07-29,/market-activity/ipos/overview?dealId=826190-63907,130,"81,250,000",1137500000.0,"6400 SOUTH FIDDLERS GREEN CIRCLE PLAZA TOWER ONE, SUITE 1610  GREENWOOD VILLAGE CO 80111",(303) 843-8040
115,"ENVESTNET, INC.",ENV,New York Stock Exchange,9.0,"7,000,000","$63,000,000",2010-07-29,/market-activity/ipos/overview?dealId=684332-63706,450,"30,795,117",277156053.0,35 E WACKER DR STE 2400   CHICAGO IL 60601,312-827-2800
116,WILLIAMS PARTNERS L.P.,CHKM,New York Stock Exchange,21.0,"21,250,000","$446,250,000",2010-07-29,/market-activity/ipos/overview?dealId=821456-63363,230,"69,076,122",1450598562.0,ONE WILLIAMS CENTER   TULSA OK 74172,918-573-0454
117,Trius Therapeutics Inc,TSRX,Nasdaq National Market,5.0,"10,000,000","$50,000,000",2010-08-03,/market-activity/ipos/overview?dealId=703021-62513,36,"23,554,592",117772960.0,6310 NANCY RIDGE DR SUITE 105   SAN DIEGO CA 92121,858-452-0370
118,MEAT TECH 3D LTD,DMED,Nasdaq SmallCap Market,7.0,"1,500,906","$10,506,342",2010-08-05,/market-activity/ipos/overview?dealId=829325-64285,68,"7,572,273",53005911.0,3 HASADNA ST.   TIRAT CARMEL  39026,972-73-250-7100
119,"G-Estate Liquidation Stores, Inc.",GMAN,Nasdaq National Market,11.0,"5,357,143","$58,928,573",2010-08-05,/market-activity/ipos/overview?dealId=827035-64026,4000,"18,703,086",205733946.0,1926 SOUTH 67TH STREET   OMAHA NE 68106,402-691-4000
120,Ambow Education Holding Ltd.,AMBO,New York Stock Exchange,10.0,"10,677,207","$106,772,070",2010-08-05,/market-activity/ipos/overview?dealId=832935-64691,10361,"21,354,414",213544140.0,"12TH FLOOR, NO. 1 FINANCIAL STREET CHANG AN CENTER, SHIJINGSHAN DISTRICT  BEIJING  100043",86 (10) 6206-8000
121,"IntraLinks Holdings, Inc.",IL,New York Stock Exchange,13.0,"11,000,000","$143,000,000",2010-08-06,/market-activity/ipos/overview?dealId=825687-63852,423,"49,284,964",640704532.0,"C/O INTRALINKS, INC. 150 E. 42ND STREET, 8TH FLOOR  NEW YORK NY 10017",212-543-7700
122,NUPATHE INC.,PATH,Nasdaq National Market,10.0,"5,000,000","$50,000,000",2010-08-06,/market-activity/ipos/overview?dealId=720465-64175,22,"14,546,161",145461610.0,7  GREAT VALLEY PARKWAY SUITE 300  MALVERN PA 19355,610-232-0800
123,NXP Semiconductors N.V.,NXPI,Nasdaq National Market,14.0,"34,000,000","$476,000,000",2010-08-06,/market-activity/ipos/overview?dealId=757890-63906,27539,"249,251,500",3489521000.0,,--
124,MediaMind Technologies Inc.,MDMD,Nasdaq National Market,11.5,"5,000,000","$57,500,000",2010-08-11,/market-activity/ipos/overview?dealId=614466-63520,348,"17,901,592",205868308.0,135 WEST 18TH STREET 5TH FLOOR  NEW YORK NY 10011,646-202-1320
125,China Kanghui Holdings,KH,New York Stock Exchange,10.25,"6,675,000","$68,418,750",2010-08-11,/market-activity/ipos/overview?dealId=833584-64773,723,"130,814,100",1340844525.0,NO.1-8 TIANSHAN ROAD XINBEI DISTRICT  CHANGZHOU  213022,86519-85195556
126,"RealPage, Inc.",RP,Nasdaq National Market,11.0,"12,300,000","$135,300,000",2010-08-12,/market-activity/ipos/overview?dealId=630471-64014,1260,"62,305,404",685359444.0,2201 LAKESIDE BLVD   RICHARDSON TX 75082,972-820-3915
127,MakeMyTrip Ltd,MMYT,Nasdaq National Market,14.0,"5,000,000","$70,000,000",2010-08-12,/market-activity/ipos/overview?dealId=833644-64779,757,"34,134,002",477876028.0,"19TH FLOOR, BUILDING NO.5, DLF CYBER CITY,  GURGAON  122002",91 124 439 5000
128,"Electromed, Inc.",ELMD,Nasdaq SmallCap Market,4.0,"1,700,000","$6,800,000",2010-08-13,/market-activity/ipos/overview?dealId=827620-64045,70,"7,887,885",31551540.0,500 SIXTH AVENUE NW   NEW PRAGUE MN 56071,952-758-9299
129,Whitestone REIT,WSR,American Stock Exchange,12.0,"2,200,000","$26,400,000",2010-08-26,/market-activity/ipos/overview?dealId=112973-62494,52,"2,200,000",26400000.0,2600 SOUTH GESSNER SUITE 500  HOUSTON TX 77063,713-827-9595
130,"American Assets Trust, Inc.",AAT,New York Stock Exchange,20.5,"27,500,000","$563,750,000",2011-01-13,/market-activity/ipos/overview?dealId=837016-65140,100,"35,034,840",718214220.0,11455 EL CAMINO REAL SUITE 200  SAN DIEGO CA 92130,(858) 350-2600
131,"TIBET PHARMACEUTICALS, INC.",TBET,Nasdaq National Market,5.5,"3,000,000","$16,500,000",2011-01-25,/market-activity/ipos/overview?dealId=828647-64188,226,"14,812,500",81468750.0,"90 JAFFE ROAD ROOM 1701, 17/F  WANCHAI  00000",852 9798 5569
132,Nielsen Holdings plc,NLSN,New York Stock Exchange,23.0,"71,428,572","$1,642,857,156",2011-01-26,/market-activity/ipos/overview?dealId=829744-64361,34000,"347,629,277",7995473371.0,85 BROAD STREET   NEW YORK NY 10004,6466545000
133,LEAF GROUP LTD.,DMD,New York Stock Exchange,17.0,"8,900,000","$151,300,000",2011-01-26,/market-activity/ipos/overview?dealId=710930-64883,600,"81,964,617",1393398489.0,1655 26TH STREET   SANTA MONICA CA 90404,(310) 917-6400
134,"BankUnited, Inc.",BKU,New York Stock Exchange,27.0,"29,000,000","$783,000,000",2011-01-28,/market-activity/ipos/overview?dealId=840262-65512,1169,"96,971,850",2618239950.0,14817 OAK LANE   MIAMI LAKES FL 33016,(305) 569-2000
135,BCD Semiconductor Manufacturing Ltd,BCDS,Nasdaq National Market,10.5,"6,000,000","$63,000,000",2011-01-28,/market-activity/ipos/overview?dealId=634789-66100,1193,"106,420,562",1117415901.0,800 YI SHAN ROAD   SHANGHAI  00000,--
136,Velti plc,VELT,Nasdaq National Market,12.0,"12,518,008","$150,216,096",2011-01-28,/market-activity/ipos/overview?dealId=828512-64158,528,"49,393,092",592717104.0,FIRST FLOOR 28-32 PEMBROKE STREET UPPER  DUBLIN  2,33 (0) 1234 2676
137,InterXion Holding N.V.,INXN,New York Stock Exchange,13.0,"20,375,252","$264,878,276",2011-01-28,/market-activity/ipos/overview?dealId=845354-66151,326,"64,894,627",843630151.0,SCORPIUS 30 2132 LR  HOOFDDORP  00000,31 20 880 7600
138,Adecoagro S.A.,AGRO,New York Stock Exchange,11.0,"28,571,428","$314,285,708",2011-01-28,/market-activity/ipos/overview?dealId=845500-66160,5757,"115,846,386",1274310246.0,13-15 Avenue de la Liberte   N/A  L-1931,352 2689-8213
139,"HCA Healthcare, Inc.",HCA,New York Stock Exchange,30.0,"126,200,000","$3,786,000,000",2011-03-10,/market-activity/ipos/overview?dealId=10298-66010,194000,"515,205,100",15456153000.0,ONE PARK PLZ   NASHVILLE TN 37203,6153449551
140,MagnaChip Semiconductor CORP,MX,New York Stock Exchange,14.0,"9,500,000","$133,000,000",2011-03-11,/market-activity/ipos/overview?dealId=672432-63611,3337,"39,351,985",550927790.0,"C/O MAGNACHIP SEMICONDUCTOR S.A. 74, RUE DE MERL  LUXEMBOURG  L-2146",(352) 45-62-62
141,Cornerstone OnDemand Inc,CSOD,Nasdaq National Market,13.0,"10,500,000","$136,500,000",2011-03-17,/market-activity/ipos/overview?dealId=746404-65285,327,"46,636,370",606272810.0,1601 CLOVERFIELD BLVD SUITE 620  SANTA MONICA CA 90404,310-752-0200
142,"SERVICESOURCE INTERNATIONAL, INC.",SREV,Nasdaq National Market,10.0,"11,940,133","$119,401,330",2011-03-25,/market-activity/ipos/overview?dealId=656414-65973,1536,"65,506,343",655063430.0,707 17TH STREET SUITE 2500  DENVER CO 80202,7208898500
143,Qihoo 360 Technology Co Ltd,QIHU,New York Stock Exchange,14.5,"12,110,800","$175,606,600",2011-03-30,/market-activity/ipos/overview?dealId=850169-66570,860,"173,213,370",2511593865.0,"3/F, BUILDING #2 NO. 6 JIUXIANQIAO RD, CHAOYANG DISTRICT  Beijing  100015",(86-10) 5878-1000
144,"Apollo Global Management, Inc.",APO,New York Stock Exchange,19.0,"29,757,559","$565,393,621",2011-03-30,/market-activity/ipos/overview?dealId=756155-58048,485,"120,972,042",2298468798.0,9 West 57th Str   new York NY 10019,212-515-3200
145,SANDRIDGE ENERGY INC,PER,New York Stock Exchange,18.0,"30,000,000","$540,000,000",2011-08-11,/market-activity/ipos/overview?dealId=696018-67249,2192,"52,500,000",945000000.0,123 ROBERT S. KERR AVENUE   OKLAHOMA CITY OK 73102-6406,405-429-5500
146,Carbonite Inc,CARB,Nasdaq National Market,10.0,"6,250,000","$62,500,000",2011-08-11,/market-activity/ipos/overview?dealId=686680-67102,206,"24,000,105",240001050.0,TWO AVENUE DE LAFAYETTE   BOSTON MA 02111,6175871140
147,Tudou Holdings Ltd,TUDO,Nasdaq National Market,29.0,"6,000,000","$174,000,000",2011-08-17,/market-activity/ipos/overview?dealId=840944-65618,888,"113,425,562",3289341298.0,"Bldg No. 6, X2 Creative Park 1238 Xietu Road, Xuhui District  Shanghai  200032",--
148,Ubiquiti Inc.,UBNT,Nasdaq National Market,15.0,"7,038,230","$105,573,450",2011-10-14,/market-activity/ipos/overview?dealId=857833-67441,92,"89,740,183",1346102745.0,"685 THIRD AVENUE, 27TH FLOOR   NEW YORK NY 10017",646-780-7958
149,Zeltiq Aesthetics Inc,ZLTQ,Nasdaq National Market,13.0,"7,000,000","$91,000,000",2011-10-19,/market-activity/ipos/overview?dealId=759517-67654,148,"32,758,082",425855066.0,4410 ROSEWOOD DRIVE   Pleasanton CA 94588,(925) 474-2500
150,"East Dubuque Nitrogen Partners, L.P.",RNF,New York Stock Exchange,20.0,"15,000,000","$300,000,000",2011-11-04,/market-activity/ipos/overview?dealId=861474-67861,145,"38,250,000",765000000.0,2277 PLAZA DRIVE SUITE 500  SUGAR LAND TX 77479,(281) 207-3200
151,"Groupon, Inc.",GRPN,Nasdaq National Market,20.0,"35,000,000","$700,000,000",2011-11-04,/market-activity/ipos/overview?dealId=826818-67316,2416,"635,403,352",12708067040.0,"600 WEST CHICAGO AVENUE, SUITE 400   CHICAGO IL 60654",(312) 334-1579
152,IMPERVA INC,IMPV,New York Stock Exchange,18.0,"5,000,000","$90,000,000",2011-11-09,/market-activity/ipos/overview?dealId=711138-67452,375,"22,101,695",397830510.0,3400 BRIDGE PARKWAY   REDWOOD SHORES CA 94065,650-345-9000
153,PACIFIC DRILLING S.A.,PACD,New York Stock Exchange,8.25,"6,000,000","$49,500,000",2011-11-11,/market-activity/ipos/overview?dealId=853161-68548,461,"216,000,000",1782000000.0,8-10 AVENUE DE LA GARE L-1610  NONE  NONE,NONE
154,"LUMOS PHARMA, INC.",NLNK,Nasdaq National Market,7.0,"6,200,000","$43,400,000",2011-11-14,/market-activity/ipos/overview?dealId=97316-65981,78,"20,582,002",144074014.0,4200 MARATHON BLVD. SUITE 200  AUSTIN TX 78756,512-215-2630
155,"Clovis Oncology, Inc.",CLVS,Nasdaq National Market,13.0,"10,000,000","$130,000,000",2011-11-16,/market-activity/ipos/overview?dealId=807381-67478,45,"21,663,604",281626852.0,5500 FLATIRON PARKWAY SUITE 100  BOULDER CO 80301,(303) 625-5000
156,InvenSense Inc,INVN,New York Stock Exchange,7.5,"10,000,000","$75,000,000",2011-11-16,/market-activity/ipos/overview?dealId=642614-64579,243,"79,322,687",594920152.5,1745 TECHNOLOGY DRIVE   SAN JOSE CA 95110,(408) 501-2200
157,Aptiv PLC,DLPH,New York Stock Exchange,22.0,"24,078,827","$529,734,194",2011-11-17,/market-activity/ipos/overview?dealId=856325-67250,102000,"328,244,510",7221379220.0,5 HANOVER QUAY GRAND CANAL DOCK  DUBLIN  D02 VY79,353-1-259-7013
158,INTERMOLECULAR INC,IMI,Nasdaq National Market,10.0,"9,650,000","$96,500,000",2011-11-18,/market-activity/ipos/overview?dealId=657705-67788,204,"42,133,168",421331680.0,3011 NORTH FIRST STREET   SAN JOSE CA 95134,(408) 582-5700
159,"Manning & Napier, Inc.",MN,New York Stock Exchange,12.0,"12,500,000","$150,000,000",2011-11-18,/market-activity/ipos/overview?dealId=859058-67574,450,"12,500,000",150000000.0,290 WOODCLIFF DRIVE   FAIRPORT NY 14450,5853256880
160,MATTRESS FIRM HOLDING CORP.,MFRM,Nasdaq National Market,19.0,"5,555,555","$105,555,545",2011-11-18,/market-activity/ipos/overview?dealId=763720-67382,2040,"32,983,602",626688438.0,C/O MATTRESS HOLDING CORP 5815 GULF FREEWAY  HOUSTON TX 77023,(713) 923-1090
161,"Digital Domain Media Group, Inc.",DDMG,New York Stock Exchange,8.5,"4,920,000","$41,820,000",2011-11-18,/market-activity/ipos/overview?dealId=828382-67152,813,"39,500,993",335758440.5,10250 SW VILLAGE PARKWAY   PORT ST. LUCIE FL 34987,772-345-8000
162,AMPLIFY ENERGY CORP,MEMP,Nasdaq National Market,19.0,"9,000,000","$171,000,000",2011-12-09,/market-activity/ipos/overview?dealId=858218-67483,155,"16,061,294",305164586.0,500 DALLAS STREET SUITE 1700  HOUSTON TX 77002,713-588-8369
163,"Jive Software, Inc.",JIVE,Nasdaq National Market,12.0,"13,439,600","$161,275,200",2011-12-13,/market-activity/ipos/overview?dealId=806055-68009,392,"59,066,276",708795312.0,"300 ORCHARD CITY DRIVE, SUITE 100   CAMPBELL CA 95008",503-295-3700
164,Gazit-Globe Ltd,GZT,New York Stock Exchange,9.0,"9,000,000","$81,000,000",2011-12-14,/market-activity/ipos/overview?dealId=724351-68754,2516,"163,465,394",1471188546.0,1696 NE MIAMI GARDENS DRIVE   NORTH MIAMI BEACH FL 33179,(212) 305-944-7988
165,Sanchez Energy Corp,SN,New York Stock Exchange,22.0,"10,000,000","$220,000,000",2011-12-14,/market-activity/ipos/overview?dealId=862977-68061,70,"33,000,000",726000000.0,1000 MAIN STREET SUITE 3000  HOUSTON TX 77002,713-783-8000
166,"Laredo Petroleum, Inc.",LPI,New York Stock Exchange,17.0,"17,500,000","$297,500,000",2011-12-15,/market-activity/ipos/overview?dealId=862471-67993,183,"125,000,000",2125000000.0,15 W. SIXTH STREET SUITE 900  TULSA OK 74119,918-513-4570
167,Capri Holdings Ltd,KORS,New York Stock Exchange,20.0,"47,200,000","$944,000,000",2011-12-15,/market-activity/ipos/overview?dealId=869036-68739,2945,"190,792,868",3815857360.0,33 KINGSWAY   LONDON  WC2B 6UF,44 207 632 8600
168,"Bonanza Creek Energy, Inc.",BCEI,New York Stock Exchange,17.0,"10,000,000","$170,000,000",2011-12-15,/market-activity/ipos/overview?dealId=844878-67357,71,"39,555,481",672443177.0,"410 17TH STREET, SUITE 1500   DENVER CO 80202",720-440-6100
169,ZYNGA INC,ZNGA,Nasdaq National Market,10.0,"100,000,000","$1,000,000,000",2011-12-16,/market-activity/ipos/overview?dealId=782377-67565,2789,"100,000,000",1000000000.0,699 EIGHTH STREET   SAN FRANCISCO CA 94103,800-762-2530
170,"Renewable Energy Group, Inc.",REGI,Nasdaq National Market,10.0,"7,200,000","$72,000,000",2012-01-19,/market-activity/ipos/overview?dealId=804642-67691,234,"7,200,000",72000000.0,416 S. BELL AVENUE   AMES IA 50010,515-239-8000
171,"Guidewire Software, Inc.",GWRE,New York Stock Exchange,13.0,"8,850,000","$115,050,000",2012-01-25,/market-activity/ipos/overview?dealId=863116-68084,684,"48,892,951",635608363.0,"2850 S. DELAWARE ST., SUITE 400   SAN MATEO CA 94403",650-357-9100
172,"Verastem, Inc.",VSTM,Nasdaq National Market,10.0,"5,500,000","$55,000,000",2012-01-27,/market-activity/ipos/overview?dealId=860700-68518,18,"20,234,116",202341160.0,117 KENDRICK STREET SUITE 500  NEEDHAM MA 02494,(781) 292-4200
173,YELP INC,YELP,New York Stock Exchange,15.0,"7,150,000","$107,250,000",2012-03-02,/market-activity/ipos/overview?dealId=691649-68649,918,"7,150,000",107250000.0,140 NEW MONTGOMERY STREET 9TH FLOOR  SAN FRANCISCO CA 94105,(415) 908-3801
174,Nationstar Mortgage Holdings Inc.,NSM,New York Stock Exchange,14.0,"16,666,667","$233,333,338",2012-03-08,/market-activity/ipos/overview?dealId=855544-67149,2599,"86,666,667",1213333338.0,8950 CYPRESS WATERS BOULEVARD   COPPELL TX 75019,(469) 549-2000
175,Allison Transmission Holdings Inc,ALSN,New York Stock Exchange,23.0,"26,100,000","$600,300,000",2012-03-15,/market-activity/ipos/overview?dealId=755761-66605,2800,"181,375,783",4171643009.0,ONE ALLISON WAY   Indianapolis IN 46222,(317) 242-5000
176,Demandware Inc,DWRE,New York Stock Exchange,16.0,"5,500,000","$88,000,000",2012-03-15,/market-activity/ipos/overview?dealId=647034-67680,215,"27,997,970",447967520.0,5 WALL STREET   BURLINGTON MA 01803,781-756-3700
177,"MACOM Technology Solutions Holdings, Inc.",MTSI,Nasdaq National Market,19.0,"6,000,000","$114,000,000",2012-03-15,/market-activity/ipos/overview?dealId=830087-67811,667,"45,259,684",859933996.0,100 CHELMSFORD STREET   LOWELL MA 01851,(978) 656-2500
178,"Worldpay, Inc.",VNTV,New York Stock Exchange,17.0,"29,412,000","$500,004,000",2012-03-22,/market-activity/ipos/overview?dealId=867671-68582,2455,"127,393,016",2165681272.0,8500 GOVERNOR'S HILL DRIVE   SYMMES TOWNSHIP OH 45249,513-900-5250
179,Caesarstone Ltd.,CSTE,Nasdaq National Market,11.0,"6,660,000","$73,260,000",2012-03-22,/market-activity/ipos/overview?dealId=874824-69235,838,"33,366,250",367028750.0,Kibbutz Sdot Yam   MP Menashe  38805,972 4 636 4555
180,"ExactTarget, Inc.",ET,New York Stock Exchange,19.0,"8,500,000","$161,500,000",2012-03-22,/market-activity/ipos/overview?dealId=764866-68688,1133,"64,476,784",1225058896.0,20 NORTH MERIDIAN STREET   INDIANAPOLIS IN 46204,317-423-3928
181,Vipshop Holdings Ltd,VIPS,New York Stock Exchange,6.5,"11,004,600","$71,529,900",2012-03-23,/market-activity/ipos/overview?dealId=874928-69246,2934,"101,138,565",657400672.5,"VIPSHOP HEADQUARTERS, 128 DINGXIN ROAD HAIZHU DISTRICT,  Guangzhou  510220",86 (20) 2233-0000
182,"VOCERA COMMUNICATIONS, INC.",VCRA,New York Stock Exchange,16.0,"5,850,000","$93,600,000",2012-03-28,/market-activity/ipos/overview?dealId=113414-67808,290,"21,740,372",347845952.0,525 RACE STREET SUITE 150  SAN JOSE CA 95126-3495,408-882-5100
