,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
579,Imprivata Inc,IMPR,New York Stock Exchange,15.0,"5,000,000","$75,000,000",2014-06-25,/market-activity/ipos/overview?dealId=674912-75022
580,TCP International Holdings Ltd.,TCPI,New York Stock Exchange,11.0,"7,142,858","$78,571,438",2014-06-26,/market-activity/ipos/overview?dealId=878132-75506
581,"GoPro, Inc.",GPRO,Nasdaq National Market,24.0,"17,800,000","$427,200,000",2014-06-26,/market-activity/ipos/overview?dealId=837601-75484
582,TERMINIX GLOBAL HOLDINGS INC,SERV,New York Stock Exchange,17.0,"35,900,000","$610,300,000",2014-06-26,/market-activity/ipos/overview?dealId=772415-74968
583,Garnero Group Acquisition Co,GGACU,Nasdaq SmallCap Market,10.0,"12,500,000","$125,000,000",2014-06-26,/market-activity/ipos/overview?dealId=935270-75502
584,"Michaels Companies, Inc.",MIK,Nasdaq National Market,17.0,"27,777,778","$472,222,226",2014-06-27,/market-activity/ipos/overview?dealId=922897-74257
585,Moko Social Media Ltd,MOKO,Nasdaq National Market,7.5,"1,100,000","$8,250,000",2014-06-27,/market-activity/ipos/overview?dealId=832981-75479
586,"NEXTERA ENERGY PARTNERS, LP",NEP,New York Stock Exchange,25.0,"16,250,000","$406,250,000",2014-06-27,/market-activity/ipos/overview?dealId=935206-75496
587,"Minerva Neurosciences, Inc.",NERV,Nasdaq National Market,6.0,"5,454,545","$32,727,270",2014-07-01,/market-activity/ipos/overview?dealId=931916-75124
588,Investar Holding Corp,ISTR,Nasdaq National Market,14.0,"2,875,000","$40,250,000",2014-07-01,/market-activity/ipos/overview?dealId=935042-75456
589,GLOBEIMMUNE INC,GBIM,Nasdaq SmallCap Market,10.0,"1,500,000","$15,000,000",2014-07-02,/market-activity/ipos/overview?dealId=412454-74901
590,"DIGILITI MONEY GROUP, INC.",CHTF,OTCBB,1.5,"4,775,000","$7,162,500",2014-07-09,/market-activity/ipos/overview?dealId=825339-75366
591,IRADIMED CORP,IRMD,Nasdaq SmallCap Market,6.25,"2,016,000","$12,600,000",2014-07-16,/market-activity/ipos/overview?dealId=672765-75760
592,"Limbach Holdings, Inc.",TFSCU,Nasdaq SmallCap Market,10.0,"4,000,000","$40,000,000",2014-07-16,/market-activity/ipos/overview?dealId=934030-75337
593,"Sorrento Tech, Inc.",ROKA,Nasdaq National Market,12.0,"5,000,000","$60,000,000",2014-07-17,/market-activity/ipos/overview?dealId=812352-75507
594,"CareDx, Inc.",CDNA,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2014-07-17,/market-activity/ipos/overview?dealId=394296-75619
595,YATRA USA CORP.,TRTLU,Nasdaq SmallCap Market,10.0,"18,500,000","$185,000,000",2014-07-17,/market-activity/ipos/overview?dealId=937782-75814
596,"TRUPANION, INC.",TRUP,New York Stock Exchange,10.0,"7,125,000","$71,250,000",2014-07-18,/market-activity/ipos/overview?dealId=717071-75737
597,Globant S.A.,GLOB,New York Stock Exchange,10.0,"5,850,000","$58,500,000",2014-07-18,/market-activity/ipos/overview?dealId=914229-73348
598,"Sage Therapeutics, Inc.",SAGE,Nasdaq National Market,18.0,"5,000,000","$90,000,000",2014-07-18,/market-activity/ipos/overview?dealId=925099-75748
599,TUBEMOGUL INC,TUBE,Nasdaq National Market,7.0,"6,250,000","$43,750,000",2014-07-18,/market-activity/ipos/overview?dealId=791479-74986
600,"TerraForm Power NY Holdings, Inc.",TERP,Nasdaq National Market,25.0,"20,065,000","$501,625,000",2014-07-18,/market-activity/ipos/overview?dealId=935862-75567
601,"CareCloud, Inc.",MTBC,Nasdaq SmallCap Market,5.0,"4,080,000","$20,400,000",2014-07-23,/market-activity/ipos/overview?dealId=922876-74253
602,Pfenex Inc.,PFNX,American Stock Exchange,6.0,"8,333,333","$49,999,998",2014-07-24,/market-activity/ipos/overview?dealId=817227-75640
603,"Townsquare Media, Inc.",TSQ,New York Stock Exchange,11.0,"8,333,333","$91,666,663",2014-07-24,/market-activity/ipos/overview?dealId=835956-75824
604,"Intersect ENT, Inc.",XENT,Nasdaq National Market,11.0,"5,000,000","$55,000,000",2014-07-24,/market-activity/ipos/overview?dealId=607313-75810
605,IMMUNE DESIGN CORP.,IMDZ,Nasdaq National Market,12.0,"5,000,000","$60,000,000",2014-07-24,/market-activity/ipos/overview?dealId=780925-75813
606,Innocoll AG,INNL,Nasdaq National Market,9.0,"6,500,000","$58,500,000",2014-07-25,/market-activity/ipos/overview?dealId=937594-75778
607,Orion Engineered Carbons S.A.,OEC,New York Stock Exchange,18.0,"19,500,000","$351,000,000",2014-07-25,/market-activity/ipos/overview?dealId=936624-75663
608,"OCULAR THERAPEUTIX, INC",OCUL,Nasdaq National Market,13.0,"5,000,000","$65,000,000",2014-07-25,/market-activity/ipos/overview?dealId=738056-75787
609,"El Pollo Loco Holdings, Inc.",LOCO,Nasdaq National Market,15.0,"7,142,857","$107,142,855",2014-07-25,/market-activity/ipos/overview?dealId=937846-75823
610,"ADVANCED DRAINAGE SYSTEMS, INC.",WMS,New York Stock Exchange,16.0,"14,500,000","$232,000,000",2014-07-25,/market-activity/ipos/overview?dealId=931265-75042
611,"Spark Energy, Inc.",SPKE,Nasdaq National Market,18.0,"3,000,000","$54,000,000",2014-07-29,/market-activity/ipos/overview?dealId=935960-75578
612,CONTRAFECT Corp,CFRXU,Nasdaq SmallCap Market,6.0,"6,000,000","$36,000,000",2014-07-29,/market-activity/ipos/overview?dealId=835487-75195
613,Westlake Chemical Partners LP,WLKP,New York Stock Exchange,24.0,"11,250,000","$270,000,000",2014-07-30,/market-activity/ipos/overview?dealId=933537-75273
614,"Adverum Biotechnologies, Inc.",AAVL,Nasdaq National Market,17.0,"6,000,000","$102,000,000",2014-07-31,/market-activity/ipos/overview?dealId=921110-75880
615,"HEALTHEQUITY, INC.",HQY,Nasdaq National Market,14.0,"9,100,000","$127,400,000",2014-07-31,/market-activity/ipos/overview?dealId=771871-75682
616,Synchrony Financial,SYF,New York Stock Exchange,23.0,"125,000,000","$2,875,000,000",2014-07-31,/market-activity/ipos/overview?dealId=929636-74880
617,Transocean Partners LLC,RIGP,New York Stock Exchange,22.0,"17,500,000","$385,000,000",2014-07-31,/market-activity/ipos/overview?dealId=937707-75801
618,Enlivex Therapeutics Ltd.,ORPN,Nasdaq National Market,11.0,"3,200,000","$35,200,000",2014-07-31,/market-activity/ipos/overview?dealId=926749-74590
619,MARINUS PHARMACEUTICALS INC,MRNS,Nasdaq National Market,8.0,"5,625,000","$45,000,000",2014-07-31,/market-activity/ipos/overview?dealId=601193-75413
620,"LEAP THERAPEUTICS, INC.",MCUR,Nasdaq National Market,10.0,"5,350,000","$53,500,000",2014-07-31,/market-activity/ipos/overview?dealId=937750-75804
621,"Catalent, Inc.",CTLT,New York Stock Exchange,20.5,"42,500,000","$871,250,000",2014-07-31,/market-activity/ipos/overview?dealId=925423-74481
622,"Loxo Oncology, Inc.",LOXO,Nasdaq National Market,13.0,"5,261,538","$68,399,994",2014-08-01,/market-activity/ipos/overview?dealId=911020-75877
623,Mobileye B.V.,MBLY,New York Stock Exchange,25.0,"35,589,000","$889,725,000",2014-08-01,/market-activity/ipos/overview?dealId=937555-75772
624,"FCB FINANCIAL HOLDINGS, INC.",FCB,New York Stock Exchange,22.0,"7,520,000","$165,440,000",2014-08-01,/market-activity/ipos/overview?dealId=816211-75789
625,VTTI Energy Partners LP,VTTI,New York Stock Exchange,21.0,"17,500,000","$367,500,000",2014-08-01,/market-activity/ipos/overview?dealId=937580-75777
626,Auris Medical Holding Ltd.,EARS,Nasdaq National Market,6.0,"9,400,000","$56,400,000",2014-08-06,/market-activity/ipos/overview?dealId=938258-75868
627,Hoegh LNG Partners LP,HMLP,New York Stock Exchange,20.0,"9,600,000","$192,000,000",2014-08-07,/market-activity/ipos/overview?dealId=938624-75911
628,"T2 Biosystems, Inc.",TTOO,Nasdaq National Market,11.0,"5,200,000","$57,200,000",2014-08-07,/market-activity/ipos/overview?dealId=829540-75896
629,iDreamSky Technology Ltd,DSKY,Nasdaq National Market,15.0,"7,700,000","$115,500,000",2014-08-07,/market-activity/ipos/overview?dealId=938675-75915
630,Ryerson Holding Corp,RYI,New York Stock Exchange,11.0,"11,000,000","$121,000,000",2014-08-08,/market-activity/ipos/overview?dealId=819902-63185
631,"Green Bancorp, Inc.",GNBC,Nasdaq National Market,15.0,"4,687,500","$70,312,500",2014-08-08,/market-activity/ipos/overview?dealId=937787-75815
632,"Independence Contract Drilling, Inc.",ICD,New York Stock Exchange,11.0,"10,000,000","$110,000,000",2014-08-08,/market-activity/ipos/overview?dealId=877042-75781
633,"OTONOMY, INC.",OTIC,Nasdaq National Market,16.0,"6,250,000","$100,000,000",2014-08-13,/market-activity/ipos/overview?dealId=830175-75956
634,"C1 Financial, Inc.",BNK,New York Stock Exchange,17.0,"2,631,579","$44,736,843",2014-08-14,/market-activity/ipos/overview?dealId=939202-75953
635,SINO MERCURY ACQUISITION CORP.,SMACU,Nasdaq SmallCap Market,10.0,"4,000,000","$40,000,000",2014-08-27,/market-activity/ipos/overview?dealId=939973-76008
636,ReWalk Robotics Ltd.,RWLK,Nasdaq National Market,12.0,"3,000,000","$36,000,000",2014-09-12,/market-activity/ipos/overview?dealId=939127-75947
637,Affimed N.V.,AFMD,Nasdaq National Market,7.0,"8,000,000","$56,000,000",2014-09-12,/market-activity/ipos/overview?dealId=938243-75866
638,"IFAN FINANCIAL, INC.",IFAN,OTCBB,0.31,"3,000,000","$930,000",2014-09-16,/market-activity/ipos/overview?dealId=870818-68934
639,"Civitas Solutions, Inc.",CIVI,New York Stock Exchange,17.0,"11,700,000","$198,900,000",2014-09-17,/market-activity/ipos/overview?dealId=935704-75546
640,"Eledon Pharmaceuticals, Inc.",TKAI,Nasdaq National Market,15.0,"6,480,000","$97,200,000",2014-09-17,/market-activity/ipos/overview?dealId=748564-76166
641,ProQR Therapeutics N.V.,PRQR,Nasdaq National Market,13.0,"7,500,000","$97,500,000",2014-09-18,/market-activity/ipos/overview?dealId=942327-76207
642,Foamix Pharmaceuticals Ltd.,FOMX,Nasdaq National Market,6.0,"6,700,000","$40,200,000",2014-09-18,/market-activity/ipos/overview?dealId=942215-76197
643,Alibaba Group Holding Ltd,BABA,New York Stock Exchange,68.0,"320,106,100","$21,767,214,800",2014-09-19,/market-activity/ipos/overview?dealId=934140-75355
644,Grupo Aval Acciones Y Valores S.A.,AVAL,New York Stock Exchange,13.5,"81,481,482","$1,100,000,007",2014-09-23,/market-activity/ipos/overview?dealId=849491-76101
645,ICL Group Ltd.,ICL,New York Stock Exchange,7.0,"60,158,143","$421,107,001",2014-09-24,/market-activity/ipos/overview?dealId=88538-76454
646,"Smart & Final Stores, Inc.",SFS,New York Stock Exchange,12.0,"13,450,000","$161,400,000",2014-09-24,/market-activity/ipos/overview?dealId=893925-75786
647,MEDLEY MANAGEMENT INC.,MDLY,New York Stock Exchange,18.0,"6,000,000","$108,000,000",2014-09-24,/market-activity/ipos/overview?dealId=942570-76225
648,"Vitae Pharmaceuticals, Inc",VTAE,Nasdaq National Market,8.0,"6,875,000","$55,000,000",2014-09-24,/market-activity/ipos/overview?dealId=151909-76182
649,CITIZENS FINANCIAL GROUP INC/RI,CFG,New York Stock Exchange,21.5,"140,000,000","$3,010,000,000",2014-09-24,/market-activity/ipos/overview?dealId=62981-75416
650,CyberArk Software Ltd.,CYBR,Nasdaq National Market,16.0,"900,000","$14,400,000",2014-09-24,/market-activity/ipos/overview?dealId=937836-75819
651,Travelport Worldwide LTD,TVPT,New York Stock Exchange,16.0,"30,000,000","$480,000,000",2014-09-25,/market-activity/ipos/overview?dealId=768790-75623
652,CNX Midstream Partners LP,CNNX,New York Stock Exchange,22.0,"17,500,000","$385,000,000",2014-09-25,/market-activity/ipos/overview?dealId=943082-76281
653,"GWG Holdings, Inc.",GWGH,Nasdaq SmallCap Market,12.5,"800,000","$10,000,000",2014-09-25,/market-activity/ipos/overview?dealId=857515-75254
654,"State National Companies, Inc.",SNC,Nasdaq National Market,11.98,"30,728,500","$368,127,430",2014-11-03,/market-activity/ipos/overview?dealId=938262-75986
655,Antero Midstream Partners LP,AM,New York Stock Exchange,25.0,"40,000,000","$1,000,000,000",2014-11-05,/market-activity/ipos/overview?dealId=926666-74584
656,Xenon Pharmaceuticals Inc.,XENE,Nasdaq National Market,9.0,"4,000,000","$36,000,000",2014-11-05,/market-activity/ipos/overview?dealId=944198-76432
657,NEVRO CORP,NVRO,New York Stock Exchange,18.0,"7,000,000","$126,000,000",2014-11-06,/market-activity/ipos/overview?dealId=787003-76625
658,"Coherus BioSciences, Inc.",CHRS,Nasdaq National Market,13.5,"6,296,300","$85,000,050",2014-11-06,/market-activity/ipos/overview?dealId=848758-76555
659,"Upland Software, Inc.",UPLD,Nasdaq National Market,12.0,"3,846,154","$46,153,848",2014-11-06,/market-activity/ipos/overview?dealId=841074-76385
660,"Triumph Bancorp, Inc.",TBK,Nasdaq National Market,12.0,"6,700,000","$80,400,000",2014-11-07,/market-activity/ipos/overview?dealId=872411-76509
661,"Freshpet, Inc.",FRPT,Nasdaq National Market,15.0,"10,416,667","$156,250,005",2014-11-07,/market-activity/ipos/overview?dealId=944700-76458
662,"Syneos Health, Inc.",INCR,Nasdaq National Market,18.5,"8,108,108","$149,999,998",2014-11-07,/market-activity/ipos/overview?dealId=946411-76645
663,JOINT Corp,JYNT,Nasdaq SmallCap Market,6.5,"3,000,000","$19,500,000",2014-11-11,/market-activity/ipos/overview?dealId=945230-76517
664,Axalta Coating Systems Ltd.,AXTA,New York Stock Exchange,19.5,"50,000,000","$975,000,000",2014-11-12,/market-activity/ipos/overview?dealId=942823-76245
665,SOLENO THERAPEUTICS INC,CAPN,Nasdaq SmallCap Market,6.5,"1,650,000","$10,725,000",2014-11-13,/market-activity/ipos/overview?dealId=822478-75678
666,Navios Maritime Midstream Partners LP,NAP,New York Stock Exchange,15.0,"8,100,000","$121,500,000",2014-11-13,/market-activity/ipos/overview?dealId=946816-76673
667,"Sky Solar Holdings, Ltd.",SKYS,Nasdaq SmallCap Market,8.0,"5,525,000","$44,200,000",2014-11-13,/market-activity/ipos/overview?dealId=945132-76503
668,"PRA Health Sciences, Inc.",PRAH,Nasdaq National Market,18.0,"16,976,744","$305,581,392",2014-11-13,/market-activity/ipos/overview?dealId=944073-76420
669,Virgin America Inc.,VA,Nasdaq National Market,23.0,"13,337,587","$306,764,501",2014-11-14,/market-activity/ipos/overview?dealId=940504-76046
670,NeuroDerm Ltd.,NDRM,Nasdaq National Market,10.0,"4,500,000","$45,000,000",2014-11-14,/market-activity/ipos/overview?dealId=944771-76471
671,Landmark Infrastructure Partners LP,LMRK,Nasdaq National Market,19.0,"2,650,000","$50,350,000",2014-11-14,/market-activity/ipos/overview?dealId=946670-76667
672,FIBROGEN INC,FGEN,Nasdaq National Market,18.0,"8,100,000","$145,800,000",2014-11-14,/market-activity/ipos/overview?dealId=377052-76598
673,eHi Car Services Ltd,EHIC,New York Stock Exchange,12.0,"10,000,000","$120,000,000",2014-11-18,/market-activity/ipos/overview?dealId=946284-76623
674,STORE CAPITAL Corp,STOR,New York Stock Exchange,18.5,"27,500,000","$508,750,000",2014-11-18,/market-activity/ipos/overview?dealId=872181-76340
675,"Paramount Group, Inc.",PGRE,New York Stock Exchange,17.5,"131,000,000","$2,292,500,000",2014-11-19,/market-activity/ipos/overview?dealId=943220-76295
676,SECOND SIGHT MEDICAL PRODUCTS INC,EYES,Nasdaq SmallCap Market,9.0,"3,500,000","$31,500,000",2014-11-19,/market-activity/ipos/overview?dealId=599854-76175
677,Cnova N.V.,CNV,Nasdaq National Market,7.0,"26,800,000","$187,600,000",2014-11-20,/market-activity/ipos/overview?dealId=936385-75630
678,"Habit Restaurants, Inc.",HABT,Nasdaq National Market,18.0,"5,000,000","$90,000,000",2014-11-20,/market-activity/ipos/overview?dealId=947337-76728
679,"Evofem Biosciences, Inc.",NEOT,Nasdaq National Market,14.0,"4,650,000","$65,100,000",2014-11-20,/market-activity/ipos/overview?dealId=947513-76746
680,Peak Resorts Inc,SKIS,Nasdaq National Market,9.0,"10,000,000","$90,000,000",2014-11-21,/market-activity/ipos/overview?dealId=853143-76758
681,Neff Corp,NEFF,New York Stock Exchange,15.0,"10,476,190","$157,142,850",2014-11-21,/market-activity/ipos/overview?dealId=943748-76371
682,"Ocugen, Inc.",HSGX,Nasdaq National Market,11.0,"5,909,091","$65,000,001",2014-12-03,/market-activity/ipos/overview?dealId=717962-76655
683,LendingClub CORP,LC,New York Stock Exchange,15.0,"57,700,000","$865,500,000",2014-12-11,/market-activity/ipos/overview?dealId=754560-76296
684,Momo Inc.,MOMO,Nasdaq National Market,13.5,"16,000,000","$216,000,000",2014-12-11,/market-activity/ipos/overview?dealId=949006-76912
685,"Hortonworks, Inc.",HDP,Nasdaq National Market,16.0,"6,250,000","$100,000,000",2014-12-12,/market-activity/ipos/overview?dealId=949081-76930
686,Stellantis N.V.,FCAU,New York Stock Exchange,11.0,"87,000,000","$957,000,000",2014-12-12,/market-activity/ipos/overview?dealId=938631-76694
687,CONNECTURE INC,CNXR,Nasdaq National Market,8.0,"6,635,000","$53,080,000",2014-12-12,/market-activity/ipos/overview?dealId=389472-76757
688,Origo Acquisition Corp,CNLMU,Nasdaq SmallCap Market,10.0,"4,000,000","$40,000,000",2014-12-12,/market-activity/ipos/overview?dealId=947774-76775
689,"NEW RELIC, INC.",NEWR,New York Stock Exchange,23.0,"5,000,000","$115,000,000",2014-12-12,/market-activity/ipos/overview?dealId=790196-76935
690,Metaldyne Performance Group Inc.,MPG,New York Stock Exchange,15.0,"10,000,000","$150,000,000",2014-12-12,/market-activity/ipos/overview?dealId=942977-76272
691,WORKIVA INC,WK,New York Stock Exchange,14.0,"7,200,000","$100,800,000",2014-12-12,/market-activity/ipos/overview?dealId=787804-76751
692,Avolon Holdings Ltd,AVOL,New York Stock Exchange,20.0,"13,636,363","$272,727,260",2014-12-12,/market-activity/ipos/overview?dealId=936702-75673
693,"James River Group Holdings, Ltd.",JRVR,Nasdaq National Market,21.0,"11,000,000","$231,000,000",2014-12-12,/market-activity/ipos/overview?dealId=948916-76904
694,"On Deck Capital, Inc.",ONDK,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2014-12-17,/market-activity/ipos/overview?dealId=764661-76929
695,Rice Midstream Partners LP,RMP,New York Stock Exchange,16.5,"25,000,000","$412,500,000",2014-12-17,/market-activity/ipos/overview?dealId=948866-76900
696,"BELLICUM PHARMACEUTICALS, INC",BLCM,Nasdaq National Market,19.0,"7,350,000","$139,650,000",2014-12-18,/market-activity/ipos/overview?dealId=704393-77028
697,"H-CYTE, INC.",MDVXU,Nasdaq SmallCap Market,5.75,"1,391,305","$8,000,004",2014-12-19,/market-activity/ipos/overview?dealId=920245-76410
698,"Juno Therapeutics, Inc.",JUNO,Nasdaq National Market,24.0,"11,022,917","$264,550,008",2014-12-19,/market-activity/ipos/overview?dealId=923186-76993
699,Nexvet Biopharma plc,NVET,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2015-02-05,/market-activity/ipos/overview?dealId=953739-77342
700,BARINGTON/HILCO ACQUISITION CORP.,BHACU,Nasdaq SmallCap Market,10.0,"4,000,000","$40,000,000",2015-02-06,/market-activity/ipos/overview?dealId=949470-76974
701,"Easterly Government Properties, Inc.",DEA,New York Stock Exchange,15.0,"12,000,000","$180,000,000",2015-02-06,/market-activity/ipos/overview?dealId=953277-77316
702,Columbia Pipeline Partners LP,CPPL,New York Stock Exchange,23.0,"46,811,398","$1,076,662,154",2015-02-06,/market-activity/ipos/overview?dealId=765602-76578
703,"Avenue Financial Holdings, Inc.",AVNU,Nasdaq National Market,11.0,"2,500,000","$27,500,000",2015-02-10,/market-activity/ipos/overview?dealId=954625-77425
704,InVitae Corp,NVTA,New York Stock Exchange,16.0,"6,350,000","$101,600,000",2015-02-12,/market-activity/ipos/overview?dealId=837176-77421
705,"Inovalon Holdings, Inc.",INOV,Nasdaq National Market,27.0,"22,222,222","$599,999,994",2015-02-12,/market-activity/ipos/overview?dealId=953774-77351
